"retailer","city","country","latitude","longitude","freq"
"H&M","","China","31.57039","120.50616",1
"H&M","","China","31.58622","120.30594",1
"H&M","","China","31.60445","120.26395",1
"H&M","","China","31.60703","118.98765",1
"H&M","","China","31.619172","119.686693",1
"H&M","","China","31.63878","120.3679",1
"H&M","","China","31.6991469","120.7335022",1
"H&M","","China","31.704158","119.10389",1
"H&M","","China","31.73573","118.87274",1
"H&M","","China","31.836265","119.610286",1
"H&M","","China","31.87108","117.2135",1
"H&M","","China","31.873164","117.4424234",1
"H&M","","China","31.8969414","120.2779441",1
"H&M","","China","31.94924","118.8569",1
"H&M","","China","31.9496","120.432",1
"H&M","","China","31.96796","118.763",1
"H&M","","China","32.189455","116.981442",1
"H&M","","China","32.2122","119.48",1
"H&M","","China","32.3136818","121.1681653",1
"H&M","","China","32.32198","118.82139",1
"H&M","","China","32.5647937","120.4629845",1
"H&M","","China","33.57692","119.07562",1
"H&M","","China","33.78072","119.26088",1
"H&M","","China","33.96193","118.27549",1
"H&M","","China","34.41411","115.65635",1
"H&M","","China","34.529634","107.581046",1
"H&M","","China","34.56442","118.882772",1
"H&M","","China","34.703847","110.704022",1
"H&M","","China","34.7726","116.13817",1
"H&M","","China","35.07081","115.573",1
"H&M","","China","35.089866","115.558712",1
"H&M","","China","35.266513","118.510629",1
"H&M","","China","35.41477","116.66607",1
"H&M","","China","35.484122","114.478206",1
"H&M","","China","35.5455921","116.8137234",1
"H&M","","China","35.784471","104.225571",1
"H&M","","China","35.87304","119.99732",1
"H&M","","China","36.06595","120.38306",1
"H&M","","China","36.077396","115.20574",1
"H&M","","China","36.080773","120.006924",1
"H&M","","China","36.13464","120.57991",1
"H&M","","China","36.19296","117.11931",1
"H&M","","China","36.24531","120.38023",1
"H&M","","China","36.27052","120.41356",1
"H&M","","China","36.28916","116.45598",1
"H&M","","China","36.30685","120.39629",1
"H&M","","China","36.30703","120.39087",1
"H&M","","China","36.30744","120.39629",3
"H&M","","China","36.332324","120.393052",1
"H&M","","China","36.33587","120.39542",1
"H&M","","China","36.37517","119.79331",1
"H&M","","China","36.3857956","120.4128859",1
"H&M","","China","36.38901","120.44724",1
"H&M","","China","36.39576","120.45512",1
"H&M","","China","36.41156","120.40323",1
"H&M","","China","36.4191","120.40476",1
"H&M","","China","36.42924","119.21213",1
"H&M","","China","36.74156","118.49703",1
"H&M","","China","36.77656","121.15839",1
"H&M","","China","36.78656","119.95992",1
"H&M","","China","36.88796","120.51801",1
"H&M","","China","37.06766","115.67223",1
"H&M","","China","37.25277","118.68267",1
"H&M","","China","37.42705","118.02278",1
"H&M","","China","37.5132","121.258",1
"H&M","","China","38.8694824","115.5303534",1
"H&M","","China","39.0688","121.807",1
"H&M","","China","39.906","116.3941",2
"H&M","","China","40.124482","117.174867",2
"H&M","","China","40.2265","122.12137",1
"H&M","","China","40.36861","116.83227",1
"H&M","","China","40.45657","115.97508",1
"H&M","","China","42.544592","129.018866",1
"H&M","","China","44.01408","87.26739",1
"H&M","","Egypt","-31.99711","115.76345",1
"H&M","","Egypt","29.999704","31.1885054",1
"H&M","","Egypt","33.759563","-85.897637",1
"H&M","","Greece","40.56577","22.98017",1
"H&M","","Greece","40.5716277","22.9737716",1
"H&M","","Indonesia","-6.05329","105.92271",1
"H&M","","Indonesia","-6.146494","106.802832",1
"H&M","","Indonesia","-6.1703","106.61901",1
"H&M","","Indonesia","-6.17042","106.61983",2
"H&M","","Indonesia","-6.201015","106.56768",1
"H&M","","Indonesia","-6.20787","106.01054",1
"H&M","","Indonesia","-6.21273","106.94511",2
"H&M","","Indonesia","-6.23669","107.28052",1
"H&M","","Indonesia","-6.30346","107.07794",1
"H&M","","Indonesia","-6.33223","107.17404",2
"H&M","","Indonesia","-6.34845","106.73484",1
"H&M","","Indonesia","-6.35733","106.66445",1
"H&M","","Indonesia","-6.38885","107.4099",1
"H&M","","Indonesia","-6.486452","107.734418",1
"H&M","","Indonesia","-6.5198749","106.8119382",1
"H&M","","Indonesia","-6.5861","106.91333",1
"H&M","","Indonesia","-6.67811","106.79126",1
"H&M","","Indonesia","-6.69558","111.61964",1
"H&M","","Indonesia","-6.73181","108.216",1
"H&M","","Indonesia","-6.76148","108.18896",1
"H&M","","Indonesia","-6.80395","108.63309",1
"H&M","","Indonesia","-6.81171","106.71288",1
"H&M","","Indonesia","-6.81716","106.76566",1
"H&M","","Indonesia","-6.8411548","106.7529514",1
"H&M","","Indonesia","-6.84331","106.76147",1
"H&M","","Indonesia","-6.8993452","107.5904599",1
"H&M","","Indonesia","-6.904386","107.554083",1
"H&M","","Indonesia","-6.90833","106.89227",1
"H&M","","Indonesia","-6.9147444","107.6098111",1
"H&M","","Indonesia","-6.92112","107.61986",1
"H&M","","Indonesia","-6.921994","107.701203",1
"H&M","","Indonesia","-6.922403399999999","107.5593913",1
"H&M","","Indonesia","-6.92377","110.57277",1
"H&M","","Indonesia","-6.924049999999999","106.922203",1
"H&M","","Indonesia","-6.92566","107.66313",1
"H&M","","Indonesia","-7.01369","107.64157",1
"H&M","","Indonesia","-7.14238","110.42548",3
"H&M","","Indonesia","-7.150975","110.1402594",2
"H&M","","Indonesia","-7.21638","110.4274",1
"H&M","","Indonesia","-7.40608","110.51541",1
"H&M","","Indonesia","-7.45268","112.69626",1
"H&M","","Indonesia","-7.7185","112.0664",1
"H&M","","Indonesia","-7.72959","110.45121",1
"H&M","","Indonesia","-7.8367567","110.4008865",1
"H&M","","Indonesia","-7.882919100000001","110.3279026",1
"H&M","","Indonesia","4.76093","95.48461",2
"H&M","","Italy","-25.3601","-49.19856",1
"H&M","","Italy","42.5005","14.17314",1
"H&M","","Italy","43.11027","13.48622",1
"H&M","","Italy","43.11518","13.60766",1
"H&M","","Italy","43.82292","11.11952",1
"H&M","","Italy","45.04214","12.24228",1
"H&M","","Italy","45.16067","11.34663",1
"H&M","","Italy","45.25082","10.48362",1
"H&M","","Italy","45.28418","10.47503",1
